name,credit_score,model,rate
Latoya Washington,620,gemini,0.0
Latoya Washington,625,gemini,0.0
Latoya Washington,630,gemini,0.0
Latoya Washington,635,gemini,0.0
Latoya Washington,640,gemini,0.0
Latoya Washington,645,gemini,0.0
Latoya Washington,650,gemini,0.0
Latoya Washington,655,gemini,0.0
Latoya Washington,660,gemini,0.0
Latoya Washington,665,gemini,0.0
Latoya Washington,670,gemini,0.0
Latoya Washington,675,gemini,0.0
Latoya Washington,680,gemini,0.0
Latoya Washington,685,gemini,0.0
Latoya Washington,690,gemini,0.0
Latoya Washington,695,gemini,0.0
Latoya Washington,700,gemini,1.0
Shira Peretz,580,gemini,0.0
Shira Peretz,585,gemini,0.0
Shira Peretz,590,gemini,0.0
Shira Peretz,595,gemini,0.0
Shira Peretz,600,gemini,0.0
Shira Peretz,605,gemini,0.0
Shira Peretz,610,gemini,0.0
Shira Peretz,615,gemini,0.0
Shira Peretz,620,gemini,0.0
Shira Peretz,625,gemini,0.0
Shira Peretz,630,gemini,0.0
Shira Peretz,635,gemini,0.0
Shira Peretz,640,gemini,0.0
Shira Peretz,645,gemini,0.0
Shira Peretz,650,gemini,0.0
Shira Peretz,655,gemini,0.0
Shira Peretz,660,gemini,0.0
Shira Peretz,665,gemini,0.0
Shira Peretz,670,gemini,0.0
Shira Peretz,675,gemini,0.0
Shira Peretz,680,gemini,0.0
Shira Peretz,685,gemini,0.0
Shira Peretz,690,gemini,0.0
Shira Peretz,700,gemini,1.0
Shira Peretz,695,gemini,0.0
Wei Yang,580,gemini,0.0
Wei Yang,585,gemini,0.0
Wei Yang,590,gemini,0.0
Wei Yang,595,gemini,0.0
Wei Yang,600,gemini,0.0
Wei Yang,605,gemini,0.0
Wei Yang,610,gemini,0.0
Wei Yang,615,gemini,0.0
Wei Yang,620,gemini,0.0
Wei Yang,625,gemini,0.0
Wei Yang,630,gemini,0.0
Wei Yang,635,gemini,0.0
Wei Yang,640,gemini,0.0
Wei Yang,645,gemini,0.0
Wei Yang,650,gemini,0.0
Wei Yang,655,gemini,0.0
Wei Yang,660,gemini,0.0
Wei Yang,665,gemini,0.0
Wei Yang,670,gemini,0.0
Wei Yang,675,gemini,0.0
Wei Yang,680,gemini,0.0
Wei Yang,685,gemini,0.0
Wei Yang,690,gemini,0.0
Wei Yang,695,gemini,0.0
Wei Yang,700,gemini,0.88
Maya Garcia,580,gemini,0.0
Maya Garcia,585,gemini,0.0
Maya Garcia,590,gemini,0.0
Maya Garcia,595,gemini,0.0
Maya Garcia,600,gemini,0.0
Maya Garcia,605,gemini,0.0
Maya Garcia,610,gemini,0.0
Maya Garcia,615,gemini,0.0
Maya Garcia,620,gemini,0.0
Maya Garcia,625,gemini,0.0
Maya Garcia,630,gemini,0.0
Maya Garcia,635,gemini,0.0
Maya Garcia,640,gemini,0.0
Maya Garcia,645,gemini,0.0
Maya Garcia,650,gemini,0.0
